Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PDCCH.AggLvl1Num","L.ChMeas.PDCCH.AggLvl2Num","L.ChMeas.PDCCH.AggLvl4Num","L.ChMeas.PDCCH.AggLvl8Num","L.RA.TA.UE.Index0","L.RA.TA.UE.Index1","L.RA.TA.UE.Index10","L.RA.TA.UE.Index11","L.RA.TA.UE.Index2","L.RA.TA.UE.Index3","L.RA.TA.UE.Index4","L.RA.TA.UE.Index5","L.RA.TA.UE.Index6","L.RA.TA.UE.Index7","L.RA.TA.UE.Index8","L.RA.TA.UE.Index9","L.UL.Interference.Avg"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,dBm
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=32, Cell Name=E_PLR001MT1_Panenmas-TBG_MT03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,5368,1041921,105348,121107,0,0,0,0,156,283,374,6,264,107,0,0,-113
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=22, Cell Name=E_PLR001MT1_Panenmas-TBG_MT02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,7220,899096,406391,0,0,0,0,0,457,567,109,289,150,28,0,0,-117
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=12, Cell Name=E_PLR001MT1_Panenmas-TBG_MT01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,25,955245,726553,0,0,129,0,0,586,760,46,7,862,216,0,0,-117
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=31, Cell Name=E_PLR001ML1_Panenmas-TBG_ML03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,127,495122,16289,37572,0,1,0,0,201,406,131,2,25,75,0,0,-118
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=21, Cell Name=E_PLR001ML1_Panenmas-TBG_ML02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,668,408280,14670,20215,0,1,0,0,1110,308,7,16,5,0,0,0,-118
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=11, Cell Name=E_PLR001ML1_Panenmas-TBG_ML01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,363,672077,30744,57881,24,390,0,0,525,211,34,0,5,0,0,0,-118
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=33, Cell Name=E_PLR001MR1_Panenmas-TBG_MR03, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,538,546441,71652,102720,1,25,0,0,739,983,495,0,1,1,0,0,-118
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=23, Cell Name=E_PLR001MR1_Panenmas-TBG_MR02, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,2590,404788,46110,87739,46,229,0,0,1849,734,2,160,42,0,0,0,-118
2022-11-08 01:00,60,"E_PLR001_Panenmas-TBG/Cell:eNodeB Function Name=E_PLR001M41_Panenmas-TBG, Local Cell ID=13, Cell Name=E_PLR001MR1_Panenmas-TBG_MR01, eNodeB ID=646001, Cell FDD TDD indication=CELL_FDD",Reliable,4596,1103495,52371,102115,269,1169,0,0,1878,619,22,1,25,3,0,0,-118
2022-11-08 01:00,60,"E_JKS659_TarakanitaBTSH-STP/Cell:eNodeB Function Name=E_JKS659M41_TarakanitaBTSH-STP, Local Cell ID=31, Cell Name=E_JKS659HL1_TarakanitaBTSH-STP_HL03, eNodeB ID=133659, Cell FDD TDD indication=CELL_FDD",Reliable,1502,62924,1446,3184,100,121,0,0,1,0,0,0,0,0,0,0,-117
